GPT-4 Accuracy	ChatGPT Accuracy	BERT Accuracy	Author	Title	Year	Bing Hits	Google Hits	C4 Hits	Pile Hits	Source	Sub-source	ChatGPT predicted year	GPT-4 predicted year	ID
0.04	0.01	0.01	Ken Follett	Eye of the Needle	1978	0	1.1	0	2	Genre Fiction	Action/Spy	1962	1975	follett_eye_of_the_needle_Eye_of_the_Needle
0.04	0.01	0	Stephen King	It	1986	0.1	1.5	0.1	1.2	Genre Fiction	Horror	1945	1970	king_it_It
0.04	0.01	0	Dean Koontz	Watchers	1987	0.2	0.6	0	0.8	Genre Fiction	Horror	1998	1987	koontz_a_new_collection_Watchers
0.04	0	0	Elmore Leonard	Get Shorty	1990	0	0.2	0.3	2.7	Genre Fiction	Mystery/Crime	1983	1995	leonard_get_shorty_Get_Shorty
0.04	0.02	0	Michael Ondaatje	The English Patient	1992	0.4	3.1	0.3	1.1	Genre Fiction	Romance	unknown (as there is no clear indication of a specific year in the passage)	1992	ondaatje_the_english_patient_The_English_Patient
0.04	0	0	R. K. Narayan	Swami and Friends	1935	0.1	2.7	0.2	4.2	Global	Asia	1930	1935	narayan_swami_and_friends_Swami_and_Friends
0.04	0.02	0	Jean Rhys	Wide Sargasso Sea	1966	0.5	86.6	0.5	2	Global	Americas	1978	1985	ryhs_wide_sargasso_sea_Wide_Sargasso_Sea
0.04	0.03	0	Bapsi Sidhwa	Cracking India	1988	0.1	1.3	0	0	Global	Asia	1980	1950	sidhwa_cracking_india_Cracking_India
0.04	0.02	0	John Banville	The Book of Evidence	1989	0	0	0	2.5	Global	Europe	1967	1960	banville_the_book_of_evidence_The_Book_of_Evidence
0.04	0.03	0	Richard Flanagan	Gould's Book of Fish	2001	0.1	0.3	0	2	Global	Oceania	1982	1988	flanagan_goulds_book_of_fish_Gould_s_Book_of_Fish
0.04	0.02	0	Monica Ali	Brick Lane	2003	2.3	97.1	3	2.6	Global	Europe	1990	2000	ali_brick_lane_Brick_Lane
0.04	0.05	0	Witi Ihimaera	Whale Rider	2006	0.2	1.5	0	0	Global	Oceania	1985	1985	ihimaera_the_whale_rider_Whale_Rider
0.04	0.01	0	Joseph Conrad	The Secret Agent: A Simple Tale	1907	1.1	3.8	2.1	6.7	pre-1923 LitBank		1924	1915	974_the_secret_agent_a_simple_tale
0.04	0.01	0	Mary Roberts Rinehart	The Circular Staircase	1908	0.2	352.5	1.9	7.7	pre-1923 LitBank		1878	1915	434_the_circular_staircase
0.04	0.01	0	Willa Cather	The Song of the Lark	1915	0	2.2	0	7.1	pre-1923 LitBank		1915	1915	44_the_song_of_the_lark
0.04	0.02	0	Jean Webster	Dear Enemy	1915	0	1.4	0.4	4	pre-1923 LitBank		1912	1915	238_dear_enemy
0.04	0.02	0.01	Upton Sinclair	Dragon's Teeth	1943	0	0	0	1	Pulitzer		1920	1920	sinclair_dragons_teeth_i_Dragon_s_Teeth
0.04	0	0	James Gould Cozzens	Guard of Honor	1949	0	0	0	0	Pulitzer		1950	1943	cozzens_guard_of_honor_Guard_of_Honor
0.04	0	0	Thomas Pynchon	Gravity's Rainbow	1974	0	1.3	0	0	Pulitzer		1973	1973	pynchon_gravitys_rainbow_Gravity_s_Rainbow
0.04	0.02	0	Viet Thanh Nguyen	The Sympathizer	2016	0.6	1.7	0.7	0.9	Pulitzer		1987	2000	nguyen_the_sympathizer_The_Sympathizer
0.03	0.04	0	James Baldwin	Go Tell It on The Mountain	1953	1.9	8.8	0.8	1.4	BBIP		1960	1950	baldwin_go_tell_it_on_the_mountain_Go_Tell_It_on_The_Mountain
0.03	0.01	0	Toni Morrison	Sula	1973	0.3	3.8	0.444	1.2	BBIP		1917	1950	morrison_sula_Sula
0.03	0.02	0	Gayl Jones	Corregidora	1975	0	0.3	0	1	BBIP		1970	1970	jones_corregidora_Corregidora
0.03	0.02	0.01	Toni Cade Bambara	The Salt Eaters	1980	0	0.2	0.1	2	BBIP		1973	1968	bambara_salt_eaters_The_Salt_Eaters
0.03	0.02	0	John Edgar Wideman	Philadelphia Fire	1990	0	0.2	0.1	2	BBIP		1985	1985	wideman_philadelphia_fire_Philadelphia_Fire
0.03	0.01	0.01	James McBride	The Good Lord Bird	2013	0	0	0	1	BCALA		1850	1870	mcbride_the_good_lord_bird_The_Good_Lord_Bird
0.03	0.01	0	Roxane Gay	Difficult Women	2017	0.1	0.4	0.1	1	BCALA		2010	2005	gay_difficult_women_Difficult_Women
0.03	0	0	A. Hamilton Gibbs	Soundings	1925	0	0	0	0	Bestsellers		1920	1920	gibbs_soundings_Soundings
0.03	0.01	0.01	Lloyd C. Douglas	The Big Fisherman	1949	0.1	0.6	0	0.6	Bestsellers		Unknown (as there is not enough information to make a prediction)	1900	douglas_the_big_fisherman_The_Big_Fisherman
0.03	0.02	0	Daphne du Maurier	My Cousin Rachel	1952	0.1	1.1	0.6	2	Bestsellers		1951	1951	dumaurier_my_cousin_rachel_My_Cousin_Rachel
0.03	0.01	0.01	Mary Stewart	This Rough Magic	1964	0	0	0	0	Bestsellers		1960	1965	stewart_this_rough_magic_This_Rough_Magic
0.03	0.03	0	Philip Roth	Portnoy's Complaint	1969	0	1.8	0.4	2.1	Bestsellers		1961	1963	roth_portnoys_complaint_Portnoy_s_Complaint
0.03	0.02	0.02	Frederick Forsyth	The Odessa File	1973	0.3	0.7	0	0.9	Bestsellers		1945	1972	forsyth_the_odessa_file_The_Odessa_File
0.03	0	0	Margaret Craven	I Heard the Owl Call My Name	1974	0	0	0	0.9	Bestsellers		1960	1950	craven_i_heard_the_owl_call_my_name_I_Heard_the_Owl_Call_My_Name
0.03	0.04	0	Jean M. Auel	The Plains of Passage	1990	0	0	0	0.9	Bestsellers		Unknown (This passage appears to be from a work of fiction set in prehistoric times, so it is impossible to assign a specific year.)	1985	auel_the_plains_of_passage_The_Plains_of_Passage
0.03	0.01	0	Khaled Hosseini	A Thousand Splendid Suns	2007	1.3	12.8	0.1	0.7	Bestsellers		2007	2003	hosseini_a_thousand_splendid_suns_A_Thousand_Splendid_Suns
0.03	0.01	0	Anthony Doerr	All the Light We Cannot See	2015	1.4	4.1	0.1	2.8	Bestsellers		1944	2014	doerr_all_the_light_we_cannot_see_All_the_Light_We_Cannot_See
0.03	0.01	0	Daphne du Maurier	Rebecca	1938	1.2	3	0	1	Genre Fiction	Mystery/Crime	1938	1938	dumaurier_rebecca_Rebecca
0.03	0.03	0	Ira Levin	The Stepford Wives	1972	1.8	7.5	0.7	1.5	Genre Fiction	Horror	1960	1965	levin_three_by_ira_levin_The_Stepford_Wives
0.03	0.01	0	Thomas Harris	The Silence of the Lambs	1988	0.5	2.2	0.2	1	Genre Fiction	Horror	1988	1988	harris_the_silence_of_the_lambs_The_Silence_of_the_Lambs
0.03	0.01	0.01	Anne Rice	The Witching Hour	1990	0.9	1.1	0.1	1	Genre Fiction	Horror	1967	1980	rice_the_witching_hour_The_Witching_Hour
0.03	0.01	0	Elizabeth Wein	Code Name Verity	2012	0	0.6	0	0.2	Genre Fiction	Action/Spy	1940	1945	wein_code_name_verity_Code_Name_Verity
0.03	0.01	0	Florence Johnny Frisbie	Miss Ulysses from Pukapuka	1948	0	0	0	0	Global	Oceania	1930	1940	frisbie_miss_ulysses_from_puka_puka_Miss_Ulysses_from_Pukapuka
0.03	0	0.01	Samuel Selvon	The Lonely Londoners	1956	0.1	0.9	0	1	Global	Americas	1960	1956	selvon_the_lonely_londoners_The_Lonely_Londoners
0.03	0	0	Ken Saro-Wiwa	Sozaboy	1985	0	0.1	0	0	Global	Africa	Uncertain	1960	saro_wiwa_sozaboy_Sozaboy
0.03	0.01	0.01	Patricia Grace	Potiki	1987	0	0.3	0	1	Global	Oceania	Uncertain	1985	grace_potiki_Potiki
0.03	0.01	0.01	Caryl Phillips	Cambridge	1991	0	0.2	0	0.3	Global	Americas	Unknown (as there is no clear indication of a specific year in the passage)	1850	phillips_cambridge_Cambridge
0.03	0.02	0	Edna O'Brien	House of Splendid Isolation	1994	0	0	0	0	Global	Europe	1922	1945	o_brien_house_of_splendid_isolation_House_of_Splendid_Isolation
0.03	0.01	0	Qiu Xiaolong	When Red Is Black	2004	0	0	0	0.8	Global	Asia	1989	1997	xiaolong_when_red_is_black_When_Red_Is_Black
0.03	0.02	0	Colum McCann	Let the Great World Spin	2009	0	0.9	0	1	Global	Europe	1975	1985	mccann_let_the_great_world_spin_Let_the_Great_World_Spin
0.03	0	0	Chimamanda Ngozi Adichie	Americanah	2013	0	2.2	0	2.1	Global	Africa	2003	2000	adichie_americanah_Americanah
0.03	0.02	0	Mohsin Hamid	Exit West	2017	2.1	16.7	1.5	2.1	Global	Asia	2017	2017	hamid_exit_west_Exit_West
0.03	0.01	0.01	Charles Waddell Chesnutt	House Behind the Cedars	1900	0	2.3	0.5	5	BBIP		1899	1899	chesnutt_the_house_behind_the_cedars_gutenberg_pg472_House_Behind_the_Cedars
0.03	0.01	0	Rebecca Harding Davis	Life in the Iron-Mills; Or, The Korl Woman	1861	1.2	3.5	2	9.7	pre-1923 LitBank		1856	1861	876_life_in_the_ironmills_or_the_korl_woman
0.03	0.01	0.01	Charles W. (Charles Waddell) Chesnutt	The House Behind the Cedars	1900	0	2.4	0.5	5	pre-1923 LitBank		1870	1898	472_the_house_behind_the_cedars
0.03	0.02	0.01	W. E. B. (William Edward Burghardt) Du Bois	The Quest of the Silver Fleece: A Novel	1911	0.1	1.1	0.1	2	pre-1923 LitBank		1915	1911	15265_the_quest_of_the_silver_fleece_a_novel
0.03	0.03	0.01	B. M. Bower	The Flying U Ranch	1914	0	0.1	1.1	5	pre-1923 LitBank		1920	1915	1206_the_flying_u_ranch
0.03	0.01	0.01	Thomas Sigismund Stribling	The Store	1933	0	0	0	0	Pulitzer		1930	1940	stribling_the_store_The_Store
0.03	0.02	0	Herman Wouk	The Caine Mutiny	1952	0	0.8	0	2	Pulitzer		1951	1951	wouk_the_caine_mutiny_The_Caine_Mutiny
0.03	0.02	0	MacKinlay Kantor	Andersonville	1956	0	0.6	0.5	1.7	Pulitzer		1937	1935	kantor_andersonville_Andersonville
0.03	0	0	Allen Drury	Advise and Consent	1960	0	0	0	0	Pulitzer		1960	1960	drury_advise_and_consent_Advise_and_Consent
0.03	0	0	William Styron	The Confessions of Nat Turner	1968	0.2	0.3	0	3	Pulitzer		1863	1960	styron_confessions_of_nat_turner_The_Confessions_of_Nat_Turner
0.03	0.01	0	Michael Shaara	The Killer Angels	1975	0.2	1.9	0.1	1	Pulitzer		1863	1963	shaara_the_killer_angels_The_Killer_Angels
0.03	0.01	0	John Cheever	The Stories of John Cheever	1979	0.4	1.4	0.1	3.5	Pulitzer		1952	1950	cheever_stories_of_john_cheever_The_Stories_of_John_Cheever
0.03	0.01	0	Peter Taylor	A Summons to Memphis	1987	0	0.2	0.8	0.4	Pulitzer		1950	1950	taylor_a_summons_for_memphis_A_Summons_to_Memphis
0.03	0.02	0	Junot Díaz	The Brief Wondrous Life of Oscar Wao	2008	0.1	4.2	0	2	Pulitzer		2000	2007	diaz_the_brief_wondrous_life_of_oscar_wao_The_Brief_Wondrous_Life_of_Oscar_Wao
0.02	0	0	Paule Marshall	Brown Girl, Brownstones	1959	0	0.1	0	0	BBIP		1950	1950	marshall_brown_girl_brownstones_Brown_Girl,_Brownstones
0.02	0.02	0.01	Iceberg Slim	Trick Baby	1967	0	0	0	2	BBIP		1953	1952	slim_trick_baby_Trick_Baby
0.02	0	0	Octavia Butler	Patternmaster	1976	0	0.9	0.1	3.2	BBIP		Unknown (The passage appears to be from a work of fiction and does not contain any clear indicators of a specific year.)	1976	butler_seed_to_harvest_Patternmaster
0.02	0.01	0	Toni Morrison	*Song of Solomon	1977	0.5	3.3	0.4	1	BBIP		1977	1977	morrison_song_of_solomon_*Song_of_Solomon
0.02	0.01	0	Octavia Butler	Kindred	1979	0.2	3.3	0.1	0	BBIP		1850	1979	butler_kindred_Kindred
0.02	0.01	0	Leonard Wise	Dumachas and Sheba	1979	0.1	0	0	0	BBIP		No prediction can be made as the passage does not provide enough context or clues about the time period.	1950	wise_dumachas_and_sheba_Dumachas_and_Sheba
0.02	0	0	Ernest J. Gaines	A Gathering of Old Men	1983	0	0.4	0	1	BBIP		1960	1960	gaines_a_gathering_of_old_men_A_Gathering_of_Old_Men
0.02	0.01	0	Fatima Shaik	The Mayor of New Orleans: Just Talking Jazz	1987	0	0.2	0	0	BBIP		1950	1950	shaik_the_mayor_of_new_orleans_The_Mayor_of_New_Orleans:_Just_Talking_Jazz
0.02	0.01	0	Charles Johnson	Middle Passage	1990	0	0	0	0	BBIP		18th century (exact year uncertain)	1850	johnson_middle_passage_Middle_Passage
0.02	0.01	0.01	Terry McMillan	Waiting to Exhale	1992	0.2	547	0.5	1.8	BBIP		2010	1992	mcmillan_waiting_to_exhale_Waiting_to_Exhale
0.02	0	0	Ernest Gaines	A Lesson Before Dying	1993	0.2	1.3	0.2	2.1	BBIP		1940	1968	gaines_a_lesson_before_dying_A_Lesson_Before_Dying
0.02	0	0	Maxine Clair	Rattlebone	1994	0	0.2	0	0	BCALA		1962	1985	clair_rattlebone_Rattlebone
0.02	0.01	0	Sandra Jackson-Opoku	The River Where Blood Is Born	1997	0	0	0	0	BCALA		1987	1985	jackson_opoku_the_river_where_blood_is_born_The_River_Where_Blood_Is_Born
0.02	0.03	0	Pearl Cleage	I Wish I Had A Red Dress	2001	0	0.1	0.1	0	BCALA		1982	1985	cleage_i_wish_i_had_a_red_dress_I_Wish_I_Had_A_Red_Dress
0.02	0.02	0	Jacqueline Woodson	Another Brooklyn	2016	0	0.6	0	0.7	BCALA		1977	1990	woodson_another_brooklyn_Another_Brooklyn
0.02	0	0	Sinclair Lewis	Dodsworth	1929	0	1	0	0.1	Bestsellers		1920	1930	lewis_arrowsmith_elmer_gantry_dodsworth_Dodsworth
0.02	0.01	0	Warwick Deeping	The Bridge of Desire	1931	0	0	0	0	Bestsellers		1920	1920	deeping_the_bridge_of_desire_The_Bridge_of_Desire
0.02	0.01	0	John P. Marquand	Wickford Point	1939	0	0	0	0	Bestsellers		1950	1930	marquand_wickford_point_Wickford_Point
0.02	0	0	Pearl S. Buck	Dragon Seed	1942	0	0	0	2	Bestsellers		1949	1942	buck_dragon_seed_Dragon_Seed
0.02	0.02	0.01	Russell Janney	The Miracle of the Bells	1947	0	0	0	0	Bestsellers		1923	1930	janney_the_miracle_of_the_bells_The_Miracle_of_the_Bells
0.02	0.02	0.01	Thomas B. Costain	The Silver Chalice	1953	0	1.4	0	1	Bestsellers		Cannot predict accurately as there is not enough context to determine the time period or historical events referenced.	1920	costain_the_silver_chalice_The_Silver_Chalice
0.02	0.01	0	Herman Wouk	Marjorie Morningstar	1955	0	0.1	0	1.6	Bestsellers		1955	1955	wouk_marjorie_morningstar_Marjorie_Morningstar
0.02	0	0	James Gould Cozzens	By Love Possessed	1957	0	0	0	0	Bestsellers		1920	1920	cozzens_by_love_possessed_By_Love_Possessed
0.02	0.01	0	Edna Ferber	Ice Palace	1958	0	0	0	1	Bestsellers		1950	1955	ferber_ice_palace_Ice_Palace
0.02	0.02	0	Jackie Collins	Hollywood Husbands	1986	0	0	0	0	Bestsellers		1982	1985	collins_hollywood_husbands_Hollywood_Husbands
0.02	0.02	0	Tom Clancy	Clear and Present Danger	1989	0	0.1	0	2	Bestsellers		1989	1990	clancy_clear_and_present_danger_Clear_and_Present_Danger
0.02	0	0	Tom Clancy	The Sum of All Fears	1991	1.1	1.4	0.1	3	Bestsellers		1988	1990	clancy_sum_of_all_fears_The_Sum_of_All_Fears
0.02	0.02	0.01	Danielle Steel	The Gift	1994	0	0.8	0	1	Bestsellers		1978	1980	steel_the_gift_The_Gift
0.02	0.03	0.01	Jerry B. Jenkins and Tim LaHaye	Desecration	2001	0.3	1610.5	1.1	9.7	Bestsellers		2006	1995	lahaye_desecration_Desecration
0.02	0.01	0.01	Alice Sebold	The Lovely Bones	2002	0.6	2.6	0	1.2	Bestsellers		2002	2002	sebold_the_lovely_bones_The_Lovely_Bones
0.02	0	0	Patricia Cornwell	Trace	2004	0	0	0	2	Bestsellers		1990	1990	cornwell_trace_Trace
0.02	0.01	0	Helen MacInnes	Assignment in Brittany	1941	0	0	0	1.8	Genre Fiction	Action/Spy	1944	1943	macinnes_a_three_novel_omnibus_Assignment_in_Brittany
0.02	0	0	Kathleen Winsor	Forever Amber	1944	0.1	0.4	0.1	1.1	Genre Fiction	Romance	1920	1930	winsor_forever_amber_Forever_Amber
0.02	0	0	Shirley Jackson	We Have Always Lived in the Castle	1962	0	1.8	0.8	2	Genre Fiction	Horror	1951	1950	jackson_the_lottery_haunting_hill_house_we_have_always_lived_in_the_castle_We_Have_Always_Lived_in_the_Castle
0.02	0	0	Ursula K. Le Guin	The Left Hand of Darkness	1969	1.4	3.3	0.4	0.2	Genre Fiction	SF/Fantasy	1969	1969	leguin_the_left_hand_of_darkness_The_Left_Hand_of_Darkness
0.02	0	0	John le Carré	Tinker, Tailor, Soldier, Spy	1974	0.2	2	0.2	3.3	Genre Fiction	Action/Spy	1974	1974	lecarre_tinker_tailor_soldier_spy_Tinker,_Tailor,_Soldier,_Spy
0.02	0.01	0	Jude Deveraux	A Knight in Shining Armor	1989	0.1	0.3	0	0	Genre Fiction	Romance	1989	1985	deveraux_a_knight_in_shining_armor_A_Knight_in_Shining_Armor
0.02	0.01	0.02	Alan Furst	Dark Star	1991	0.1	0.1	0	2.1	Genre Fiction	Action/Spy	1944	1940	furst_dark_star_Dark_Star
0.02	0	0.01	Janet Evanovich	One for the Money	1994	0.4	1.3	0	0.1	Genre Fiction	Mystery/Crime	1998	1994	evanovich_one_for_the_money_One_for_the_Money
0.02	0.03	0	Joyce Carol Oates	Zombie	1995	0	0.2	0	1	Genre Fiction	Horror	1983	1985	oates_zombie_Zombie
0.02	0	0.02	Susanna Clarke	Jonathan Strange & Mr Norrell	2004	0.1	1.1	0	0	Genre Fiction	SF/Fantasy	1805	1800	clarke_jonathan_strange_and_mr_norrell_Jonathan_Strange___Mr_Norrell
0.02	0.03	0	Elizabeth Kostova	The Historian	2005	0	0.6	0	2	Genre Fiction	Horror	Unknown (as there is no clear indication of a specific year in the passage)	1950	kostova_the_historian_The_Historian
0.02	0.01	0	Christina Stead	The Man Who Loved Children	1940	0	0.1	0	2	Global	Oceania	1920	1920	stead_the_man_who_loved_children_The_Man_Who_Loved_Children
0.02	0	0	Samuel Beckett	Watt	1953	0	1.2	0.6	1.6	Global	Europe	1922	1930	beckett_watt_Watt
0.02	0.01	0	George Lamming	In the Castle of My Skin	1953	0	0	0	2	Global	Americas	1950	1960	lamming_in_the_castle_of_my_skin_In_the_Castle_of_My_Skin
0.02	0.01	0	Patrick White	Voss	1957	0	0.3	0.1	1.8	Global	Oceania	1939	1957	white_voss_Voss
0.02	0	0	Vladimir Nabokov	Pale Fire	1962	0.5	4.7	0.6	3	Global	Europe	1950	1950	nabokov_pale_fire_Pale_Fire
0.02	0.01	0	Ayi Kwei Armah	The Beautyful Ones Are Not Yet Born	1968	0	1.7	0	0	Global	Africa	1950	1950	armah_the_beautyful_ones_are_not_yet_born_The_Beautyful_Ones_Are_Not_Yet_Born
0.02	0.01	0	Merle Hodge	Crick Crack, Monkey	1970	0.1	0.8	0	0	Global	Americas	1950	1950	hodge_crick_crack_monkey_Crick_Crack,_Monkey
0.02	0	0	Rudolfo Anaya	Bless Me, Ultima	1972	0.1	3	0.2	1	Global	Americas	1960	1970	anaya_bless_me_ultima_Bless_Me,_Ultima
0.02	0	0	John Dominis Holt	Waimea Summer	1976	0	0	0	0	Global	Oceania	1920	1940	holt_waimea_summer_Waimea_Summer
0.02	0.01	0.01	Ama Ata Aidoo	Our Sister Killjoy	1977	0.1	1.9	0	0.2	Global	Africa	1978	1980	aidoo_our_sister_killjoy_Our_Sister_Killjoy
0.02	0	0	Salman Rushdie	Midnight’s Children	1981	0.1	2.3	0.2	0	Global	Asia	1960	1960	rushdie_midnights_children_Midnight’s_Children
0.02	0.02	0	Nadine Gordimer	July's People	1981	0.6	2.1	0	1	Global	Africa	1979	1965	gordimer_julys_people_July_s_People
0.02	0.01	0	Iain Banks	The Wasp Factory	1984	0	1.7	0	1.1	Global	Europe	1982	1985	banks_the_wasp_factory_The_Wasp_Factory
0.02	0.01	0	Nayantara Sahgal	Rich Like Us	1985	0	0	0	0	Global	Asia	1984	1985	sahgal_rich_like_us_Rich_Like_Us
0.02	0	0	Nuruddin Farah	Maps	1986	0	0	0	2	Global	Africa	1977	1980	farah_maps_Maps
0.02	0.01	0	Alan Duff	Once Were Warriors	1990	0	0	0	1	Global	Oceania	1984	1985	duff_once_were_warriors_Once_Were_Warriors
0.02	0.01	0	Kiana Davenport	Shark Dialogues	1995	0	0	0	0	Global	Oceania	Uncertain	1985	davenport_shark_dialogues_Shark_Dialogues
0.02	0.01	0	Edwidge Danticat	The Farming of Bones	1998	0	0.8	0	3.9	Global	Americas	Uncertain	2000	danticat_the_farming_of_bones_The_Farming_of_Bones
0.02	0	0	Zadie Smith	White Teeth	2000	0.4	12.6	0.2	2	Global	Europe	2000	2000	smith_white_teeth_White_Teeth
0.02	0.01	0	Helen Oyeyemi	Icarus Girl	2005	0	0	0	1.8	Global	Europe		2005	oyeyemi_the_icarus_girl_Icarus_Girl
0.02	0.01	0	Kiran Desai	The Inheritance of Loss	2006	1.4	5.7	0.1	2.8	Global	Asia	2007	2000	desai_the_inheritance_of_loss_The_Inheritance_of_Loss
0.02	0	0	NoViolet Bulawayo	We Need New Names	2013	0.3	1.6	0	2	Global	Africa	2013	2005	bulawayo_we_need_new_names_We_Need_New_Names
0.02	0	0.01	Paul Laurence Dunbar	The Sport of the Gods	1902	1.9	1.4	0.4	2	BBIP		1920	1900	dunbar_the_sport_of_the_gods_gutenberg_pg17854_The_Sport_of_the_Gods
0.02	0.01	0	Anthony Hope	The Prisoner of Zenda	1894	0.2	3.1	0.7	6.2	pre-1923 LitBank		1894	1894	95_the_prisoner_of_zenda
0.02	0	0	Mary Johnston	To Have and to Hold	1899	1.2	1.5	0.2	4	pre-1923 LitBank		17th century (exact year cannot be determined as the passage is set in the 17th century)	1890	2807_to_have_and_to_hold
0.02	0.01	0	Edna Ferber	Personality Plus: Some Experiences of Emma McChesney and Her Son, Jock	1914	0.3	5.1	0.1	0.2	pre-1923 LitBank		1920	1920	12677_personality_plus_some_experiences_of_emma_mcchesney_and_her_son_jock
0.02	0.01	0	Campbell, Mrs. Praed	Lady Bridget in the Never-Never Land: a story of Australian life	1915	0	1	0	3	pre-1923 LitBank		1920	1910	4051_lady_bridget_in_the_nevernever_land_a_story_of_australian_life
0.02	0	0	Thornton Wilder	The Bridge of San Luis Rey	1928	0	1.6	0.1	1.9	Pulitzer		1920	1940	wilder_the_bridge_of_san_lius_rey_The_Bridge_of_San_Luis_Rey
0.02	0.02	0	Harold L. Davis	Honey in the Horn	1936	0	0	0	0	Pulitzer		1952	1930	davis_honey_in_the_horn_Honey_in_the_Horn
0.02	0.01	0	Ellen Glasgow	In This Our Life	1942	0	0.1	0	0	Pulitzer		1938	1930	glasgow_in_this_our_life_In_This_Our_Life
0.02	0.02	0	Robert Lewis Taylor	The Travels of Jaimie McPheeters	1959	0	0	0	1.8	Pulitzer		Unknown (as there is no clear indication of the year in the passage)	1885	taylor_the_travels_of_jaimie_mcpheeters_The_Travels_of_Jaimie_McPheeters
0.02	0.02	0.01	Edwin O'Connor	The Edge of Sadness	1962	0	0	0	0	Pulitzer		1930	1935	o_connor_the_edge_of_sadness_The_Edge_of_Sadness
0.02	0	0	William Faulkner	The Reivers	1963	0	1.2	0	1	Pulitzer		1930	1950	faulkner_the_reivers_The_Reivers
0.02	0	0	Joyce Carol Oates	The Wheel of Love	1971	0	0.1	0	0	Pulitzer		1962	1965	oates_the_wheel_of_love_The_Wheel_of_Love
0.02	0.01	0	Marilynne Robinson	Housekeeping	1982	0.9	4.5	0.2	1.4	Pulitzer		1970	1980	robinson_housekeeping_Housekeeping
0.02	0.04	0	Oscar Hijuelos	The Mambo Kings Play Songs of Love	1990	0	1	0	1.1	Pulitzer		1982	1985	hijuelos_the_mambo_kings_play_songs_of_love_The_Mambo_Kings_Play_Songs_of_Love
0.02	0.02	0	Richard Russo	Empire Falls	2002	0	0	0	0	Pulitzer		1996	2001	russo_empire_falls_Empire_Falls
0.02	0.01	0	Susan Choi	American Woman	2004	0	0	0	2	Pulitzer		1973	1974	choi_american_woman_American_Woman
0.02	0	0	Elizabeth Strout	Olive Kitteridge	2009	0.3	0.8	0.1	2.1	Pulitzer		1967	1975	strout_olive_kitteridge_Olive_Kitteridge
0.02	0.01	0	Karen Russell	Swamplandia!	2012	0.3	1.1	0.1	2.4	Pulitzer		1950	1980	russell_swamplandia_Swamplandia!
0.02	0.04	0	Eowyn Ivey	The Snow Child	2013	0	0.9	0	0.9	Pulitzer		1920	2000	ivey_the_snow_child_The_Snow_Child
0.02	0.01	0	Laila Lalami	The Moor's Account	2015	0.1	0.9	0	0.9	Pulitzer		1540	1980	lalami_the_moors_account_The_Moor_s_Account
0.01	0	0.01	Claude McKay	Home to Harlem	1928	0	0.1	0	0	BBIP		1910	1925	mckay_home_to_harlem_Home_to_Harlem
0.01	0.01	0	Margaret Walker	Jubilee	1966	0	0	0	1	BBIP		1863	1940	walker_jubilee_Jubilee
0.01	0.01	0	James Baldwin	If Beale Street Could Talk	1974	0.4	44.6	1.8	1	BBIP		1960	1974	baldwin_if_beale_street_could_talk_If_Beale_Street_Could_Talk
0.01	0	0	Gayl Jones	Eva’s Man	1976	0	0.2	0	0	BBIP		1960	1975	jones_evas_man_Eva’s_Man
0.01	0.01	0.01	Ben Barker	The Time of the Terrorists	1977	0	0	0	0	BBIP		1978	1975	barker_the_time_of_the_terrorists_The_Time_of_the_Terrorists
0.01	0	0	Ernest J. Gaines	In My Father’s House	1978	0	0	0	0	BBIP		1955	1950	gaines_in_my_fathers_house_In_My_Father’s_House
0.01	0	0	J. Jason Grant	Bitch	1979	0	0	0	0	BBIP		1970	1975	grant_bitch_Bitch
0.01	0	0	Gordon Parks	Shannon	1981	0	0	0	0	BBIP		1950	1960	parks_shannon_Shannon
0.01	0	0	Octavia Butler	Clay’s Ark	1984	0	0.1	0	2.7	BBIP		2025	2005	butler_seed_to_harvest_Clay’s_Ark
0.01	0.02	0.01	Clarence Major	Painted Turtle: Woman With Guitar	1988	0	0.1	0	0	BBIP		1969	1975	major_painted_turtle_Painted_Turtle:_Woman_With_Guitar
0.01	0.01	0	Walter Mosley	Devil in a Blue Dress	1990	0.6	1.3	0	1	BBIP		1978	1975	mosley_devil_in_a_blue_dress_Devil_in_a_Blue_Dress
0.01	0	0	Edwidge Danticat	Breath, Eyes, Memory	1994	0.2	1.8	0.2	1	BBIP		1987	1990	danticat_breathe_eyes_memory_Breath,_Eyes,_Memory
0.01	0.01	0	Sister Souljah	The Coldest Winter Ever	1999	0	0	0	2	BBIP		1989	1990	souljah_the_coldest_winter_ever_The_Coldest_Winter_Ever
0.01	0	0	Edward P. Jones	The Known World	2003	0.4	1.7	0.4	1.3	BBIP		unknown (The passage does not provide enough context or specific historical references to make a prediction.)	2003	jones_the_known_world_The_Known_World
0.01	0.02	0	Jesmyn Ward	Salvage the Bones	2011	0.1	1.4	0	1	BBIP		2011	2011	ward_salvage_the_bones_Salvage_the_Bones
0.01	0	0	Paule Marshall	The Fisher King	2000	0.1	0.1	0	0	BCALA		1978	1980	marshall_the_fisher_king_The_Fisher_King
0.01	0.01	0	Jewell Parker Rhodes	Douglass' Women	2002	0	0	0	1	BCALA		1930	1980	rhodes_douglass_women_Douglass__Women
